,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-03-21,16.0,0.34263392857142855,0.386737977041727,-0.6,0.18680555555555556,0.4625,0.5303571428571429,1.0,16.0,0.5711309523809525,0.20550036541272926,0.2638888888888889,0.43125,0.55,0.6973214285714286,0.95
2010-03-22,40.0,0.15157930307539685,0.4118882190390043,-1.0,-0.07098958333333333,0.22,0.425,1.0,40.0,0.5237410714285715,0.2449221910043802,0.06666666666666668,0.39375000000000004,0.5138888888888888,0.6729166666666666,1.0
2010-03-23,25.0,0.21807582972582973,0.2924228310800294,-0.175,0.016666666666666663,0.1875,0.35000000000000003,0.8,25.0,0.42260213120213125,0.2163338414671496,0.1,0.3055555555555556,0.3755952380952381,0.4666666666666667,1.0
2010-03-24,24.0,0.11044507575757574,0.3155209147974532,-0.3333333333333333,-0.07499999999999998,0.05,0.25,1.0,24.0,0.43109006734006733,0.18694203471944487,0.1,0.3,0.4,0.5458333333333334,0.825
2010-03-25,30.0,0.1910190446127946,0.37426239664776545,-0.4,-0.11875,0.15340909090909088,0.5,0.875,30.0,0.45094977553310894,0.1870379016993958,0.05,0.37222222222222223,0.446969696969697,0.5968749999999999,0.75
2010-03-26,28.0,0.18541344568130283,0.4338580447789894,-0.6999999999999998,-0.1,0.14040404040404042,0.40416666666666673,1.0,28.0,0.4699250154607296,0.2890771828495891,0.1,0.2232142857142857,0.42727272727272725,0.7272727272727273,1.0
2010-03-27,22.0,0.06983428030303031,0.4226010048100958,-0.75,-0.15442708333333333,0.13645833333333332,0.263671875,1.0,22.0,0.5425270562770561,0.25890428752551764,0.1,0.32499999999999996,0.5428571428571429,0.6962499999999999,1.0
2010-03-28,13.0,0.37447598697598694,0.3630208050853458,-0.2851851851851852,0.14444444444444446,0.3952380952380952,0.5,1.0,13.0,0.5483719983719983,0.23069218157216664,0.1,0.4296296296296296,0.5678571428571428,0.675,1.0
2010-03-29,23.0,0.22591782211347422,0.37995078524507564,-0.5714285714285715,-0.041690716690716695,0.26785714285714285,0.475,1.0,23.0,0.48827456762239374,0.2053130477937541,0.06666666666666668,0.35132275132275137,0.5,0.6055555555555555,0.9523809523809524
2010-03-30,38.0,0.22552830940988836,0.386931316222522,-0.525,-0.03446969696969698,0.125,0.4875,1.0,38.0,0.5295144426723373,0.2873242204359551,0.05,0.2691919191919192,0.6000000000000001,0.7,1.0
2010-03-31,34.0,0.20420101752822345,0.40541680076205366,-0.4,-0.1,0.1181818181818182,0.40681818181818175,1.0,34.0,0.43639582095464435,0.27341742188287177,0.08333333333333334,0.2287878787878788,0.40625,0.59375,1.0
2010-04-01,45.0,0.4178736271444605,0.43002032938612345,-0.4,0.13333333333333333,0.5,0.8,1.0,45.0,0.5428741782908447,0.259191634378179,0.03333333333333333,0.4,0.45,0.7000000000000001,1.0
2010-04-02,38.0,0.40779748851294917,0.43252197359244365,-0.6,0.17708333333333331,0.36666666666666664,0.8,1.0,38.0,0.494031954887218,0.23004309465507325,0.05,0.4,0.4951388888888889,0.6000000000000001,1.0
2010-04-03,24.0,0.2541584135627105,0.45482593708446517,-0.625,-0.10125,0.34305555555555556,0.525,1.0,24.0,0.6455597643097645,0.29158014310804814,0.1,0.4204545454545455,0.685,0.9125000000000001,1.0
2010-04-04,16.0,0.11444128787878788,0.3387402283770509,-0.3125,-0.0953125,0.08380681818181818,0.175,1.0,16.0,0.33806818181818177,0.2701035055942681,0.08333333333333334,0.153125,0.225,0.4545454545454545,1.0
2010-04-05,22.0,0.4396315426997246,0.30849438845672594,-0.4166666666666666,0.35656249999999995,0.5,0.64375,0.8,22.0,0.4809578741965106,0.1650866672093497,0.18888888888888888,0.4,0.47727272727272724,0.6,0.7749999999999999
2010-04-06,30.0,0.1397164351851852,0.2593656620470742,-0.4,-0.08750000000000001,0.16666666666666666,0.33749999999999997,0.6000000000000001,30.0,0.4636574074074074,0.32931649097945326,0.05,0.17083333333333334,0.40694444444444444,0.6687500000000001,1.0
2010-04-07,31.0,0.3088288995950286,0.43084720353002537,-0.7,0.12812500000000002,0.30000000000000004,0.6625,1.0,31.0,0.4409014104175395,0.2234272283017332,0.1,0.3,0.4,0.6000000000000001,0.8023376623376623
2010-04-08,36.0,0.19572699704969673,0.3366816313767297,-0.625,-0.05,0.15446428571428572,0.3935064935064936,0.90625,36.0,0.49487667682112124,0.2691939053502685,0.08333333333333334,0.29163961038961045,0.4613636363636363,0.6583333333333333,1.0
2010-04-09,37.0,0.18072839072839075,0.32501467685130675,-0.5,-0.05,0.18666666666666668,0.375,0.8,37.0,0.5015127465127465,0.2484970680151143,0.05,0.3666666666666667,0.4545454545454545,0.62,1.0
2010-04-10,24.0,0.1457478445792248,0.39921583467879984,-0.5,-0.125,0.11818181818181818,0.5083333333333333,0.8,24.0,0.5295648949815617,0.19878847413341863,0.1,0.4,0.5384848484848485,0.6189484126984127,0.9
2010-04-11,21.0,0.21424199477770903,0.402763930724368,-0.625,-0.1,0.20000000000000004,0.3333333333333333,1.0,21.0,0.5636248539819968,0.27757916773817926,0.1,0.35000000000000003,0.6399999999999999,0.7375,1.0
2010-04-12,27.0,0.27741519026241246,0.30343685401474746,-0.5,0.13731060606060605,0.2625,0.42321428571428577,1.0,27.0,0.5497180802736358,0.26814694454360594,0.1,0.33055555555555555,0.5714285714285714,0.7611111111111111,1.0
2010-04-13,18.0,0.2861489898989899,0.27882988408314274,-0.125,0.09375,0.22992424242424242,0.4141666666666667,1.0,18.0,0.49206002331002324,0.3168375891573763,0.1,0.25625,0.42613636363636365,0.7572916666666667,1.0
2010-04-14,23.0,0.2291548050379572,0.3725962435399538,-0.8,0.05694444444444444,0.36666666666666653,0.5,0.7,23.0,0.6567374051069702,0.2434346329625778,0.1,0.555952380952381,0.6111111111111109,0.9,1.0
2010-04-15,20.0,0.20029356060606066,0.29876539508863553,-0.4,0.03020833333333333,0.221875,0.35624999999999996,1.0,20.0,0.47458333333333325,0.2136852052882097,0.2,0.2958333333333334,0.42500000000000004,0.6270833333333333,0.975
2010-04-16,34.0,0.3038573431266447,0.35277210879082843,-0.7571428571428571,0.11458333333333334,0.2501302083333333,0.4921875,1.0,34.0,0.5021657754010694,0.2571125646678014,0.06666666666666668,0.35,0.5602272727272727,0.6545454545454545,1.0
